Date,Value
09-Dec-2022,50437
10-Dec-2022,50587
11-Dec-2022,50653
12-Dec-2022,49629
13-Dec-2022,51066
14-Dec-2022,50813
15-Dec-2022,50487
16-Dec-2022,48230
17-Dec-2022,47132
18-Dec-2022,47420
19-Dec-2022,46637
20-Dec-2022,47750
21-Dec-2022,47674
22-Dec-2022,47558
23-Dec-2022,48363
24-Dec-2022,48374
25-Dec-2022,47928
26-Dec-2022,48351
27-Dec-2022,48059
28-Dec-2022,47461
29-Dec-2022,47230
30-Dec-2022,47120
31-Dec-2022,47310
01-Jan-2023,47457
02-Jan-2023,48308
04-Jan-2023,49163
05-Jan-2023,49753
06-Jan-2023,49555
07-Jan-2023,49519
08-Jan-2023,49728
09-Jan-2023,51550
10-Jan-2023,52037
11-Jan-2023,52173
12-Jan-2023,54951
13-Jan-2023,55369
14-Jan-2023,59197
15-Jan-2023,59628
16-Jan-2023,60762
17-Jan-2023,60395
18-Jan-2023,58390
19-Jan-2023,58538
20-Jan-2023,60013
21-Jan-2023,63455
22-Jan-2023,62795
23-Jan-2023,62416
24-Jan-2023,62861
25-Jan-2023,60892
26-Jan-2023,62114
27-Jan-2023,62657
28-Jan-2023,62014
29-Jan-2023,64512
30-Jan-2023,61184
31-Jan-2023,63131
01-Feb-2023,63577
02-Feb-2023,65929
03-Feb-2023,66155
04-Feb-2023,66778
05-Feb-2023,64797
06-Feb-2023,65513
07-Feb-2023,65686
08-Feb-2023,65187
09-Feb-2023,61997
10-Feb-2023,61462
11-Feb-2023,60844
12-Feb-2023,61853
13-Feb-2023,59584
14-Feb-2023,61810
15-Feb-2023,65029
20-Apr-2025,113645
